Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
Personen in de schuldsanering op 31 december; regio,,,,,,,,,,,,,
Onderwerp: |Personen met uitgesproken schuldsanering,,,,,,,,,,,,,
,Perioden,,,,,,,,,,,,
,2010*,2011*,2012*,2013*,2014*,2015*,2016*,2017*,2018*,2019*,2020*,2021*,2022*
Regio's,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal,aantal
Nederland,31155,34890,38695,39760,38560,36250,33350,29450,24120,18850,13805,10310,7345
Groningen (PV),1440,1735,2030,2080,2255,2375,2295,2030,1635,1315,970,710,480
Fryslân (PV),935,1325,1690,2020,2285,2215,1930,1495,1055,820,660,550,460
Drenthe (PV),915,1065,1340,1525,1550,1465,1400,1225,975,715,495,360,270
Overijssel (PV),2370,2875,3120,2900,2565,2420,2410,2330,1950,1530,1025,815,620
Flevoland (PV),1695,1870,2030,1775,1305,1075,1040,1025,905,660,515,365,280
Gelderland (PV),2300,2710,3270,3445,3480,3605,3500,3335,2750,2240,1650,1180,850
Utrecht (PV),1145,1300,1410,1530,1415,1390,1325,1240,1035,830,560,390,285
Noord-Holland (PV),5580,6160,6620,6640,6690,6505,5905,5010,3845,2965,2110,1600,1060
Zuid-Holland (PV),5270,6315,6930,7145,6920,6235,5810,5485,4765,3650,2795,2100,1435
Zeeland (PV),700,695,885,1000,950,770,610,480,425,395,350,270,195
Noord-Brabant (PV),4525,4755,5085,5120,4755,4240,3595,2860,2395,1920,1445,1145,875
Limburg (PV),2495,2465,2780,3185,3135,2955,2820,2530,2150,1625,1095,725,445
Amsterdam,2080,2110,2335,2290,2285,2245,2085,1820,1395,1035,785,590,375
Arnhem,190,270,340,335,355,440,420,385,320,285,260,190,125
Assen,130,155,175,200,195,195,200,180,140,100,75,55,40
's-Gravenhage (gemeente),1070,1280,1420,1330,1170,995,825,730,645,505,380,250,140
Groningen (gemeente),470,590,660,665,680,690,670,600,450,365,255,165,90
Haarlem,270,345,360,365,455,490,405,330,230,175,115,80,65
's-Hertogenbosch,420,465,470,410,355,280,205,170,150,115,95,90,80
Leeuwarden,185,280,350,390,505,445,410,315,260,205,170,140,105
Lelystad,555,535,585,475,350,280,240,205,155,110,90,70,65
Maastricht,355,325,335,380,360,320,300,275,265,210,140,95,45
Middelburg (Z.),100,100,125,150,135,105,95,90,95,95,70,50,35
Utrecht (gemeente),270,265,290,375,330,335,285,290,210,160,100,80,70
Zwolle,370,495,520,405,245,175,165,185,180,150,90,65,35
Bron: CBS,,,,,,,,,,,,,
