Title,PersonenMetUitgesprokenSchuldsanering_1
's-Gravenhage (gemeente),140.0
's-Hertogenbosch,80.0
Aa en Hunze,10.0
Aalburg,0.0
Aalsmeer,10.0
Aalten,15.0
Achtkarspelen,25.0
Alblasserdam,0.0
Albrandswaard,0.0
Alkmaar,35.0
Almelo,75.0
Almere,170.0
Alphen aan den Rijn,25.0
Alphen-Chaam,0.0
Altena,20.0
Ameland,0.0
Amersfoort,45.0
Amstelveen,25.0
Amsterdam,375.0
Anna Paulowna,0.0
Apeldoorn,40.0
Appingedam,0.0
Arnhem,125.0
Assen,40.0
Asten,10.0
Baarle-Nassau,0.0
Baarn,0.0
Barendrecht,15.0
Barneveld,0.0
Bedum,0.0
Beek (L.),0.0
Beekdaelen,10.0
Beemster,0.0
Beesel,15.0
Bellingwedde,0.0
Berg en Dal,15.0
Bergambacht,0.0
Bergeijk,0.0
Bergen (L.),0.0
Bergen (NH.),0.0
Bergen op Zoom,30.0
Berkelland,10.0
Bernheze,10.0
Bernisse,0.0
Best,0.0
Beuningen,0.0
Beverwijk,30.0
Binnenmaas,0.0
Bladel,0.0
Blaricum,0.0
Bloemendaal,0.0
Boarnsterhim,0.0
Bodegraven-Reeuwijk,0.0
Boekel,0.0
Borger-Odoorn,20.0
Borne,15.0
Borsele,0.0
Boskoop,0.0
Boxmeer,0.0
Boxtel,10.0
Breda,90.0
Brielle,0.0
Bronckhorst,10.0
Brummen,10.0
Brunssum,15.0
Bunnik,0.0
Bunschoten,0.0
Buren,20.0
Bussum,0.0
Capelle aan den IJssel,60.0
Castricum,0.0
Coevorden,20.0
Cranendonck,0.0
Cromstrijen,0.0
Cuijk,0.0
Culemborg,0.0
Dalfsen,0.0
Dantumadiel,10.0
De Bilt,0.0
De Friese Meren,0.0
De Fryske Marren,25.0
De Marne,0.0
De Ronde Venen,20.0
De Wolden,10.0
Delft,15.0
Delfzijl,0.0
Den Helder,40.0
Deurne,10.0
Deventer,45.0
Diemen,15.0
Dinkelland,0.0
Dirksland,0.0
Doesburg,20.0
Doetinchem,35.0
Dongen,10.0
Dongeradeel,0.0
Dordrecht,90.0
Drechterland,0.0
Drimmelen,0.0
Dronten,15.0
Druten,0.0
Duiven,25.0
Echt-Susteren,0.0
Edam-Volendam,0.0
Ede,25.0
Eemnes,0.0
Eemsmond,0.0
Eersel,10.0
Eijsden-Margraten,0.0
Eindhoven,35.0
Elburg,15.0
Emmen,100.0
Enkhuizen,0.0
Enschede,165.0
Epe,15.0
Ermelo,10.0
Etten-Leur,15.0
Ferwerderadiel,0.0
Franekeradeel,0.0
Gaasterlân-Sleat,0.0
Geertruidenberg,10.0
Geldermalsen,0.0
Geldrop-Mierlo,0.0
Gemert-Bakel,0.0
Gennep,10.0
Giessenlanden,0.0
Gilze en Rijen,10.0
Goedereede,0.0
Goeree-Overflakkee,35.0
Goes,10.0
Goirle,0.0
Gooise Meren,30.0
Gorinchem,15.0
Gouda,15.0
Graafstroom,0.0
Graft-De Rijp,0.0
Grave,0.0
Groesbeek,0.0
Groningen (gemeente),90.0
Grootegast,0.0
Gulpen-Wittem,0.0
Haaksbergen,15.0
Haaren,0.0
Haarlem,65.0
Haarlemmerliede en Spaarnwoude,0.0
Haarlemmermeer,30.0
Halderberge,15.0
Hardenberg,30.0
Harderwijk,25.0
Hardinxveld-Giessendam,0.0
Haren,0.0
Harenkarspel,0.0
Harlingen,10.0
Hattem,0.0
Heemskerk,0.0
Heemstede,10.0
Heerde,10.0
Heerenveen,35.0
Heerhugowaard,0.0
Heerlen,70.0
Heeze-Leende,0.0
Heiloo,0.0
Hellendoorn,15.0
Hellevoetsluis,20.0
Helmond,30.0
Hendrik-Ido-Ambacht,10.0
Hengelo (O.),75.0
Het Hogeland,20.0
Heumen,0.0
Heusden,20.0
Hillegom,0.0
Hilvarenbeek,0.0
Hilversum,35.0
Hoeksche Waard,40.0
Hof van Twente,10.0
Hollands Kroon,20.0
Hoogeveen,25.0
Hoogezand-Sappemeer,0.0
Hoorn,35.0
Horst aan de Maas,0.0
Houten,0.0
Huizen,25.0
Hulst,10.0
IJsselstein,10.0
Kaag en Braassem,10.0
Kampen,15.0
Kapelle,0.0
Katwijk,10.0
Kerkrade,45.0
Koggenland,0.0
Kollumerland en Nieuwkruisland,0.0
Korendijk,0.0
Krimpen aan den IJssel,10.0
Krimpenerwaard,15.0
Laarbeek,0.0
Landerd,0.0
Landgraaf,30.0
Landsmeer,0.0
Langedijk,0.0
Lansingerland,0.0
Laren (NH.),0.0
Leek,0.0
Leerdam,0.0
Leeuwarden,105.0
Leeuwarderadeel,0.0
Leiden,25.0
Leiderdorp,0.0
Leidschendam-Voorburg,25.0
Lelystad,65.0
Lemsterland,0.0
Leudal,0.0
Leusden,0.0
Liesveld,0.0
Lingewaal,0.0
Lingewaard,15.0
Lisse,0.0
Littenseradiel,0.0
Lochem,0.0
Loon op Zand,10.0
Lopik,0.0
Loppersum,0.0
Losser,10.0
Maasdonk,0.0
Maasdriel,0.0
Maasgouw,0.0
Maassluis,15.0
Maastricht,45.0
Marum,0.0
Medemblik,15.0
Meerssen,0.0
Meierijstad,25.0
Menameradiel,0.0
Menterwolde,0.0
Meppel,10.0
Middelburg (Z.),35.0
Middelharnis,0.0
Midden-Delfland,0.0
Midden-Drenthe,10.0
Midden-Groningen,85.0
Mill en Sint Hubert,0.0
Millingen aan de Rijn,0.0
Moerdijk,15.0
Molenlanden,0.0
Molenwaard,0.0
Montferland,20.0
Montfoort,0.0
Mook en Middelaar,0.0
Muiden,0.0
Naarden,0.0
Neder-Betuwe,15.0
Nederlek,0.0
Nederweert,0.0
Neerijnen,0.0
Niedorp,0.0
Nieuw-Lekkerland,0.0
Nieuwegein,15.0
Nieuwkoop,0.0
Nijkerk,10.0
Nijmegen,45.0
Nissewaard,50.0
Noardeast-Fryslân,30.0
Noord-Beveland,0.0
Noordenveld,10.0
Noordoostpolder,20.0
Noordwijk,0.0
Noordwijkerhout,0.0
"Nuenen, Gerwen en Nederwetten",0.0
Nunspeet,10.0
Nuth,0.0
Oegstgeest,0.0
Oirschot,0.0
Oisterwijk,15.0
Oldambt,65.0
Oldebroek,10.0
Oldenzaal,10.0
Olst-Wijhe,0.0
Ommen,0.0
Onderbanken,0.0
Oost Gelre,0.0
Oosterhout,30.0
Oostflakkee,0.0
Ooststellingwerf,10.0
Oostzaan,0.0
Opmeer,0.0
Opsterland,20.0
Oss,40.0
Oud-Beijerland,0.0
Oude IJsselstreek,20.0
Ouder-Amstel,0.0
Ouderkerk,0.0
Oudewater,0.0
Overbetuwe,20.0
Papendrecht,10.0
Peel en Maas,0.0
Pekela,20.0
Pijnacker-Nootdorp,0.0
Purmerend,30.0
Putten,0.0
Raalte,10.0
Reimerswaal,0.0
Renkum,15.0
Renswoude,0.0
Reusel-De Mierden,0.0
Rheden,20.0
Rhenen,0.0
Ridderkerk,30.0
Rijnwaarden,0.0
Rijnwoude,0.0
Rijssen-Holten,10.0
Rijswijk (ZH.),40.0
Roerdalen,10.0
Roermond,10.0
Roosendaal,40.0
Rotterdam,435.0
Rozendaal,0.0
Rucphen,15.0
Schagen,10.0
Schermer,0.0
Scherpenzeel,0.0
Schiedam,65.0
Schiermonnikoog,0.0
Schijndel,0.0
Schinnen,0.0
Schoonhoven,0.0
Schouwen-Duiveland,15.0
Simpelveld,0.0
Sint Anthonis,0.0
Sint-Michielsgestel,0.0
Sint-Oedenrode,0.0
Sittard-Geleen,45.0
Skarsterlân,0.0
Sliedrecht,15.0
Slochteren,0.0
Sluis,15.0
Smallingerland,70.0
Soest,30.0
Someren,0.0
Son en Breugel,0.0
Spijkenisse,0.0
Stadskanaal,35.0
Staphorst,0.0
Stede Broec,0.0
Steenbergen,10.0
Steenwijkerland,25.0
Stein (L.),0.0
Stichtse Vecht,0.0
Strijen,0.0
Súdwest-Fryslân,55.0
Ten Boer,0.0
Terneuzen,40.0
Terschelling,0.0
Texel,0.0
Teylingen,0.0
Tholen,10.0
Tiel,35.0
Tilburg,120.0
Tubbergen,0.0
Twenterand,25.0
Tynaarlo,0.0
Tytsjerksteradiel,15.0
Ubbergen,0.0
Uden,0.0
Uitgeest,0.0
Uithoorn,10.0
Urk,0.0
Utrecht (gemeente),70.0
Utrechtse Heuvelrug,10.0
Vaals,0.0
Valkenburg aan de Geul,10.0
Valkenswaard,10.0
Veendam,40.0
Veenendaal,10.0
Veere,0.0
Veghel,0.0
Veldhoven,10.0
Velsen,20.0
Venlo,40.0
Venray,0.0
Vianen,0.0
Vijfheerenlanden,0.0
Vlaardingen,55.0
Vlagtwedde,0.0
Vlieland,0.0
Vlissingen,45.0
Vlist,0.0
Voerendaal,0.0
Voorschoten,0.0
Voorst,0.0
Vught,0.0
Waadhoeke,35.0
Waalre,0.0
Waalwijk,10.0
Waddinxveen,0.0
Wageningen,15.0
Wassenaar,0.0
Waterland,0.0
Weert,15.0
Weesp,0.0
Werkendam,0.0
West Betuwe,15.0
West Maas en Waal,10.0
Westerkwartier,25.0
Westerveld,10.0
Westervoort,15.0
Westerwolde,25.0
Westland,15.0
Weststellingwerf,15.0
Westvoorne,0.0
Wierden,0.0
Wieringen,0.0
Wieringermeer,0.0
Wijchen,20.0
Wijdemeren,10.0
Wijk bij Duurstede,0.0
Winsum,0.0
Winterswijk,20.0
Woensdrecht,0.0
Woerden,0.0
Wormerland,0.0
Woudenberg,0.0
Woudrichem,0.0
Zaanstad,65.0
Zaltbommel,0.0
Zandvoort,10.0
Zederik,0.0
Zeevang,0.0
Zeewolde,0.0
Zeist,25.0
Zevenaar,30.0
Zijpe,0.0
Zoetermeer,35.0
Zoeterwoude,0.0
Zuidhorn,0.0
Zuidplas,0.0
Zundert,0.0
Zutphen,15.0
Zwartewaterland,0.0
Zwijndrecht,25.0
Zwolle,35.0
het Bildt,0.0
